TESIS,TITULO,FECHA,RESUMEN,TIPO ARCHIVO,Idioma,TIPO TT,AUTOR1,AUTOR2,AUTOR3,AUTOR4,DIRECTOR1,DIRECTOR2,PALABRAS CLAVES 1,PALABRAS CLAVES 2,PALABRAS CLAVES 3,PALABRAS CLAVES 4,PALABRAS CLAVES 5,PALABRAS CLAVES 6,PALABRAS CLAVES 7,URL
Aplicacion_de_algoritmos_de_clustering_para_conocer_el_comportamiento_de_los_estudiantes_durante_su_interaccion_en_los_foros_de_la_plataforma_DotlrnCaso_real_UTPL_2012,Aplicacion de algoritmos de clustering para conocer el comportamiento de los estudiantes durante su interaccion en los foros de la plataforma DotlrnCaso real UTPL,2012,"Las plataformas e-learning han adoptado un papel protagonico dentro de la educacion en los ultimos años; ejemplos de estas son moodle1, dokeos2 o dotLRN3. Es precisamente esta ultima la que se estudiara y analizara mas a fondo para el desarrollo de este proyecto. Estas plataformas cumplen el rol de sistemas de educacion e-learning y se valen de varios elementos para potenciar el aprendizaje como por ejemplo: foros, recursos compartidos, mensajes, chats, entre otros. Su principal uso se da en la educacion a distancia; muchas universidades a lo largo y ancho del planeta se encuentran usando o implementando este tipo de herramientas para fortalecer las bases de la educacion e-learning.",PDF,es,Trabajo de Fin de Titulacion,Gonzaga Bustamante Ramiro Alexander,NULL,NULL,NULL,Valdiviezo Diaz Priscila Marisela,NULL,Algoritmos,Plataforma E Learning Dotlrn,Ingeniero en sistemas informaticos y computacion,Computadores,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=3771.titn.
Adaptacion_e_implementacion_de_un_repositorio_de_objetos_de_aprendizaje_2012,Adaptacion e implementacion de un repositorio de objetos de aprendizaje,2012,"Este trabajo se inicia con la definición de objetos de aprendizaje y sus funcionalidades, para establecer su relación con los repositorios de objetos de aprendizaje. Se realiza una breve descripción y un análisis comparativo entre PlanetDR y DSpace, repositorios que se tomaron como caso de estudio, para luego implementar uno de ellos en la unidad de virtualización. Luego se define lo que es estándar, y se describe algunas organizaciones que trabajan en la elaboración de estándares para fines educativos. Se detalla el estándar Dublin Core, que es el que utiliza el sistema DSpace; y, el estándar LOM (Learning Object Metadata) utilizado en los objetos de aprendizaje. Se adapta al sistema DSpace para que funcione con el estándar LOM, luego de haber establecido una equivalencia entre algunos elementos de estándares mencionados. Una vez escogido el repositorio DSpace, que se ha tomado para implementarlo en la unidad de virtualización de la UTPL, se muestra su arquitectura, se describe cada uno de los módulos que conforman el sistema y sus funcionalidades. Se hace una breve explicación acerca del buscador open source (Apache Lucene), y el tipo de licencia que se puede establecer para los objetos de aprendizaje que se suban. Además se propone una arquitectura para la UTPL, tomando como base la del DSpace. Implementado el repositorio, se procede a hacer un conjunto de pruebas de validación y aceptación por parte del usuario final. En los anexos se muestran los procedimientos de: instalación de los repositorios PlanetDR y DSpace; instalación las aplicaciones que se requieren para su perfecto funcionamiento; y, personalización del sistema DSpace de acuerdo con los requerimientos de la unidad de virtualización de la UTPL; que incluye, modificaciones en la base de datos, cambios en las configuraciones básicas, cambios de idioma y personalización de la interfaz gráfica. Estas instalaciones y configuraciones que se realizan sobre un servidor Linux, distribución CentOS 4.4",PDF,es,Trabajo de Fin de Titulacion,Salazar Orellana Manuel Francisco,NULL,NULL,NULL,Jara Roa Dunia Ines,NULL,Repositorio digital,Repositorio de objetos de aprendizaje,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=872.titn.
Analisis_de_metodos_tecnicos_y_herramientas_para_la_gestion_de_cambio_en_el_desarrollo_de_proyectos_de_software_2012,Analisis de metodos tecnicos y herramientas para la gestion de cambio en el desarrollo de proyectos de software,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Encarnacion Ordoñez Xavier Leonidas,NULL,NULL,NULL,Sucunuta España Manuel Eduardo,NULL,Desarrollo de software,Proyectos de Software,Analisis de sistemas,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2729.titn.
Analisis_de_la_implementacion_del_algoritmo_de_Backpropagation_aplicado_al_procesamiento_de_imagenes_satelitales_sobre_un_entrono_distribuido_2012,Analisis de la implementacion del algoritmo de Backpropagation aplicado al procesamiento de imagenes satelitales sobre un entrono distribuido,2012,El procesamiento de imagenes satelitales en el departamento del SIG1 ha sido un problema frecuente debido a que los tiempos de respuesta son muy lentos y esto conlleva gastos innecesarios tanto de recursos materiales como humanos. Actualmente el departamento SIG utiliza como herramientas de analisis de imagenes satelitales el software ARGIS2 y WEKA3 los cuales procesan las imagenes en forma secuencial. Por esta razon se propone desarrollar una solucion basada en entornos distribuidos la cual permitira mejorar los tiempos de respuesta y optimizar los recursos que demanda el analisis de imagenes satelitales basadas en redes neuronales.,PDF,es,Trabajo de Fin de Titulacion,Cueva Samaniego Roberto Carlos,NULL,NULL,NULL,Alberca Greyson Paul,NULL,Backpropagation,Teledeteccion,Ingeniero en sistemas informaticos y computacion,Algoritmos,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2312.titn.
Analisis_de_la_influencia_de_los_delitos_informatcos_e_implementacion_de_politicas_para_su_prevencion_en_la_red_y_plataformas_Windows_Linux_y_Solaris_en_la_UTPL_2012,Analisis de la influencia de los delitos informatcos e implementacion de politicas para su prevencion en la red y plataformas Windows Linux y Solaris en la UTPL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Delgado Reyes Silvia Janeth,Guachizaca Sarango Laura Amparo,NULL,NULL,Mosquera Vizuete Deisy,NULL,UTPL,Seguridad informatica,Linux,Windows,Solaris,Ingeniero en sistemas informaticos y computacion,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2319.titn.
Ampliacion_del_cliente_web_para_la_plataforma_de_puntos_de_interes_georeferenciados_y_construccion_de_un_cliente_movil_aplicacion_a_los_recorridos_de_los_buses_de_la_UTPL_2012,Ampliacion del cliente web para la plataforma de puntos de interes georeferenciados y construccion de un cliente movil aplicacion a los recorridos de los buses de la UTPL,2012,"Construccion de dos aplicaciones cliente para el servicio de puntos de interes de la UTPL, un cliente web que hace el consumo de informacion de manera dual entre el Store Virtuoso y una base de datos relacional MySQL, y un cliente movil desarrollado nativamente para la plataforma Android. Lo que se logra con estas aplicaciones es difundir la informacion de la UTPL de los recorridos de los Buses de trasporte estudiantil, logrando a su vez una mejor forma de acceso a la informacion para los estudiantes y personal que labora en la institucion, a su vez brindar a los administradores del servicio una herramienta que permita evaluar la densidad de estudiantes por sectores dentro de la ciudad de Loja, para que se tomen decisiones en cuanto a nuevos recorridos que se podrian brindar actualmente el transporte universitario.",PDF,es,Trabajo de Fin de Titulacion,Mora Camacho Christian Fernando,NULL,NULL,NULL,Lopez Vargas Jorge Afranio,NULL,Cliente,Web,Buses UTPL,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=1916.titn.
Analisis_de_vulnerabilidad_de_la_red_Lan_de_la_UTPL_2012,Analisis de vulnerabilidad de la red Lan de la UTPL,2012,"Este proyecto fin de carrera se orienta al analisis de vulnerabilidades de la red LAN de la UTPL enfocado al usuario final, determinando cuales son los riesgos y amenazas que estan expuesto y el impacto en el caso de que estos llegaran a suceder; para llevar a cabo este proceso, se realizo un test de intrusion interno en un entorno de laboratorio de pruebas con la guia de un conjunto de procesos hibridos seleccionados de ""Open Source Security Testing Methodology Manual"" OSSTMM y de ""Operationally Critical Threat, Asset, and Vulnerability Evaluation"" OCTAVE.",PDF,es,Trabajo de Fin de Titulacion,Espinosa Otavalo Angelica del Cisne,NULL,NULL,NULL,Cordova Erreis Carlos Gabriel,NULL,Red LAN,UTPL,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2796.titn.
Analisis_del_trafico_maliciosos_de_los_servicios_externos_de_la_UTPL_2012,Analisis del trafico maliciosos de los servicios externos de la UTPL,2012,"Actualmente, la seguridad en los sistemas informaticos se ve cada vez mas afectada y puesta en peligro por el desarrollo y avance de nuevas tecnologias, convirtiendola a la seguridad informatica en un area elemental e importante en la proteccion de una infraestructura computacional. Los riesgos van en aumento y cada vez los metodos, herramientas, tecnicas, etc. que son utilizados, son mas sofisticados. Como medida para contrarrestar y tratar de minimizar estos riesgos, son empleados metodos de seguridad tradicionales, como lo son: la utilizacion de Firewalls, Listas de Control de Acceso (ACLs), Sistemas de Deteccion de Intrusos (IDS), Redes Virtuales Privadas (VPN), antivirus, etc. los cuales sirven de proteccion a la organizacion contra los atacantes,como dispositivos de deteccion y bloqueo de ataques de red, y como medidas reactivas, es decir, que la respuesta al incidente se la da una vez que el incidente ya se ha presentado, pero en temas de seguridad y proteccion a la informacion casi nada es suficiente. Conjuntamente con el desarrollo de las nuevas tecnologias, tambien van surgiendo herramientas en cuanto a proteccion contra atacantes de red se refiere, en procura de mantener la seguridad y la alta disponibilidad de los sistemas informaticos. Es asi que surgen las Honeynets, como herramientas que pretenden mejorar la seguridad y se transforman en una estrategia para resguardar la informacion. Se trata de mecanismos, que nos permiten capturar y aprender de las actividades de red que se registran, con ello la formacioon de patrones y perfiles de los intrusos de la red.",PDF,es,Trabajo de Fin de Titulacion,Montalvan Celi Cesar Augusto,NULL,NULL,NULL,Espinoza Velez Maria Paula,NULL,Seguridad Informatica,Honeynet,Honeynet virtual,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2945.titn.
Analisis_de_la_calidad_de_servicio_QoS_en_las_redes_moviles_Ad_Hoc_2012,Analisis de la calidad de servicio QoS en las redes moviles Ad Hoc,2012,"Las Redes Ad hoc han sido diseñadas para mantener una conectividad movil en redes inalambricas que no necesitan un dispositivo de cordinacion, por lo tanto se puede utilizar a cada nodo de la red como un enrutador que permita mantener la comunicacion en la red aunque los nodos se encuentren en movimiento. Para esto el nodo origen debe encontrar la mejor ruta para llegar al nodo de destino.",PDF,es,Trabajo de Fin de Titulacion,Torres Ontaneda Auliria,NULL,NULL,NULL,Torres Tandazo Romel Vicente,NULL,QoS,Redes moviles,Redes inalambricas,QoS Servicios,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2255.titn.
Asignacion_y_administracion_de_Vlans_dinamicas_2012,Asignacion y administracion de Vlans dinamicas,2012,"En los ultimos años el crecimiento que han tenido las redes computacionales es realmente impresionante, muchas empresas, centros universitarios, instituciones gubernamentales, etc.; han tenido un desarrollo increible en cuanto a numero de usuarios conectados y tecnologia utilizada para brindar un mejor servicio. Para ayudar al administrador en sus tareas han surgido diversas herramientas, las cuales tienen costos economicos elevados o bien no se adaptan a las necesidades de administracion de la red, por lo que no es factible su adquisicion. En vista de esto se propuso el desarrollo de una herramienta de apoyo al administrador con funcionalidades como: asignacion dinamica de VLAN5 y administracion de VLANs; lo que permitira al administrador reducir esfuerzo y optimizar tiempo requeridos para realizar cambios en la configuracion de los equipos.",PDF,es,Trabajo de Fin de Titulacion,Aguilar Mora Carlos Darwin,Poma Minga Victor Oswaldo,NULL,NULL,Vasquez Gonzalez Cecilia de Lourdes,NULL,Red LAN,Administracion de VLANS,Linux,Redes de computadores,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=4751.titn.
